street_number,street_name,street_type,station_type,lat,lng
935,FOLSOM,ST,Fire Station,37.779453,-122.404066
1340,POWELL,ST,Fire Station,37.797032,-122.40999
1067,POST,ST,Fire Station,37.786817,-122.419429
1301,TURK,ST,Fire Station,37.780512,-122.43078
135,SANCHEZ,ST,Fire Station,37.767046,-122.430779
2300,FOLSOM,ST,Fire Station,37.760352,-122.415155
36,BLUXOME,ST,Fire Station,37.777261,-122.396718
2245,JERROLD,AVE,Fire Station,37.74525,-122.40124
655,PRESIDIO,AVE,Fire Station,37.785692,-122.446685
3880,26TH,ST,Fire Station,37.748744,-122.426444
1145,STANYAN,ST,Fire Station,37.763478,-122.452642
530,SANSOME,ST,Fire Station,37.795552,-122.401411
551,26TH,AVE,Fire Station,37.779006,-122.485945
1000,OCEAN,AVE,Fire Station,37.723488,-122.45288
2251,GREENWICH,ST,Fire Station,37.798662,-122.436692
1295,SHAFTER,AVE,Fire Station,37.727515,-122.385011
1935,32ND,AVE,Fire Station,37.750973,-122.490482
390,BUCKINGHAM,WAY,Fire Station,37.727841,-122.478923
285,OLYMPIA,WAY,Fire Station,37.751289,-122.455738
1443,GROVE,ST,Fire Station,37.775446,-122.440278
1290,16TH,AVE,Fire Station,37.763976,-122.473614
1348,45TH,AVE,Fire Station,37.761401,-122.504716
100,HOFFMAN,AVE,Fire Station,37.753099,-122.441176
3305,3RD,ST,Fire Station,37.746634,-122.386868
80,DIGBY,ST,Fire Station,37.739985,-122.433069
1814,STOCKTON,ST,Fire Station,37.802562,-122.409628
299,VERMONT,ST,Fire Station,37.766187,-122.404317
441,12TH,AVE,Fire Station,37.779862,-122.47092
194,PARK,ST,Fire Station,37.736453,-122.421201
8,CAPITAL,ST,Fire Station,37.710879,-122.45853
499,41ST,AVE,Fire Station,37.779475,-122.502448
NA,PIER 22 1/2,NA,Fire Station,37.790218,-122.388457
109,OAK,ST,Fire Station,37.774936,-122.421206
798,WISCONSIN,ST,Fire Station,37.757421,-122.399164
2150,CALIFORNIA,ST,Fire Station,37.789531,-122.429817
1091,PORTOLA,DR,Fire Station,37.74011,-122.458727
2155,18TH,AVE,Fire Station,37.747641,-122.475236
1325,LEAVENWORTH,ST,Fire Station,37.793408,-122.416413
2430,SAN BRUNO,AVE,Fire Station,37.731556,-122.405608
720,MOSCOW,ST,Fire Station,37.716257,-122.431506
1298,GIRARD,ST,Fire Station,37.716658,-122.400258
849,AVENUE D,NA,Fire Station,37.825182,-122.373959
1415,EVANS,AVE,Fire Station,37.741162,-122.385482
218,LINCOLN,BLVD,Fire Station,37.801507,-122.455489
766,VALLEJO,ST,Police Central Station,37.798659,-122.409957
850,BRYANT,ST,Police Southern Station,37.775431,-122.403934
201,WILLIAMS,ST,Police Bayview Station,37.729788,-122.397934
630,VALENCIA,ST,Police Mission Station,37.762851,-122.422005
1125,FILMORE,ST,Police Northern Station,37.780188,-122.432322
1899,WALLER,ST,Police Park Station,37.767797,-122.455284
461,6TH,AVE,Police Richmond Station,37.780004,-122.464317
1,JOHN YOUNG,LN,Police Ingleside Station,37.724678,-122.446214
2345,24TH,AVE,Police Taraval Station,37.743745,-122.481477
301,EDDY,ST,Police Tenderloin Station,37.783665,-122.412901